state,plate_title,plate_img,source_img,source
CA,California State Assembly - Block,stassemblyblok.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stassemblyblok.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Assembly - Script,stassemblyscript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stassemblyscript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Assembly - Sun,stassemblysun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stassemblysun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Assembly - Blue + Gold,stassmblyblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stassmblyblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Senate - Block,stsenateblok.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stsenateblok.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Senate - Blue + Gold,stsenateblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stsenateblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Senate Retired Blue + Gold,stsenateretiredblugld.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stsenateretiredblugld.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Senate - Script,stsenatescript.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stsenatescript.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,California State Senate - Sun,stsenatesun.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/stsenatesun.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
CA,Lake Tahoe Conservancy - Motorcycle,tahoe_mc.gif,https://www.dmv.ca.gov/portal/wp-content/uploads/2020/02/tahoe_mc.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Lake Tahoe Conservancy,tahoeT_150.jpg,https://www.dmv.ca.gov/portal/uploads/2020/05/tahoeT_150.jpg,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-interest-license-plates/
CA,Trailer - Script,trailer-1.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/trailer-1.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Trailer - Block,trailer-2.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/trailer-2.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Trailer - Sun,trailer-3.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/trailer-3.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Trailers - Blue + Gold,trailer-4.gif,https://www.dmv.ca.gov/portal/uploads/2020/02/trailer-4.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/standard-license-plates/
CA,Transporters - Block,TrnBlock.gif,https://www.dmv.ca.gov/portal/uploads/2020/03/TrnBlock.gif,https://www.dmv.ca.gov/portal/vehicle-registration/license-plates-decals-and-placards/california-license-plates/special-license-plates/
